file	class	field	type	optional	decorators
/opt/rh-saas/backend/src/modules/schedules/dto/create-schedule.dto.ts	CreateScheduleDto	entry1	string	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/create-schedule.dto.ts	CreateScheduleDto	exit1	string	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/create-schedule.dto.ts	CreateScheduleDto	entry2	string	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/create-schedule.dto.ts	CreateScheduleDto	exit2	string	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/create-schedule.dto.ts	CreateScheduleDto	expectedMinutes	number	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/update-schedule.dto.ts	UpdateScheduleDto	name	string	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/update-schedule.dto.ts	UpdateScheduleDto	type	any	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/update-schedule.dto.ts	UpdateScheduleDto	workDays	number[]	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/update-schedule.dto.ts	UpdateScheduleDto	expectedMinutesPerDay	number	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/update-schedule.dto.ts	UpdateScheduleDto	dailyToleranceMinutes	number	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/update-schedule.dto.ts	UpdateScheduleDto	entry1	string	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/update-schedule.dto.ts	UpdateScheduleDto	exit1	string	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/update-schedule.dto.ts	UpdateScheduleDto	entry2	string	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/update-schedule.dto.ts	UpdateScheduleDto	exit2	string	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/update-schedule.dto.ts	UpdateScheduleDto	expectedMinutes	number	SIM	
/opt/rh-saas/backend/src/modules/schedules/employee-schedule.entity.ts	EmployeeSchedule	id	string	NAO	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/schedules/employee-schedule.entity.ts	EmployeeSchedule	tenantId	string	NAO	@Column({ name: 'tenant_id' })
/opt/rh-saas/backend/src/modules/schedules/employee-schedule.entity.ts	EmployeeSchedule	employeeId	string	NAO	@Column({ name: 'employee_id' })
/opt/rh-saas/backend/src/modules/schedules/employee-schedule.entity.ts	EmployeeSchedule	schedule	Schedule	NAO	@ManyToOne(() => Schedule) @JoinColumn({ name: 'schedule_id' })
/opt/rh-saas/backend/src/modules/schedules/employee-schedule.entity.ts	EmployeeSchedule	scheduleId	string	NAO	@Column({ name: 'schedule_id' })
/opt/rh-saas/backend/src/modules/schedules/employee-schedule.entity.ts	EmployeeSchedule	startDate	string	NAO	@Column({ name: 'start_date', type: 'date' })
/opt/rh-saas/backend/src/modules/schedules/employee-schedule.entity.ts	EmployeeSchedule	endDate	string	NAO	@Column({ name: 'end_date', type: 'date', nullable: true })
/opt/rh-saas/backend/src/modules/super-admin/dto/client-dashboard.dto.ts	ClientDashboardDto	client	any	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-dashboard.dto.ts	ClientDashboardDto	plan	any	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-dashboard.dto.ts	ClientDashboardDto	users	any	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-dashboard.dto.ts	ClientDashboardDto	employees	any	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-dashboard.dto.ts	ClientDashboardDto	documents	any	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-dashboard.dto.ts	ClientDashboardDto	modules	any	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-dashboard.dto.ts	ClientDashboardDto	audit	any[]	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-details.dto.ts	ClientDetailsDto	client	any	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-details.dto.ts	ClientDetailsDto	plan	any	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-details.dto.ts	ClientDetailsDto	company	any	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-details.dto.ts	ClientDetailsDto	modules	any[]	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-details.dto.ts	ClientDetailsDto	statistics	{	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-details.dto.ts	ClientDetailsDto	employees	number	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-details.dto.ts	ClientDetailsDto	documents	number	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-details.dto.ts	ClientDetailsDto	payslips	number	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-summary.dto.ts	ClientSummaryDto	id	string	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-summary.dto.ts	ClientSummaryDto	slug	string	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-summary.dto.ts	ClientSummaryDto	planCode	string | null	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-summary.dto.ts	ClientSummaryDto	planName	string | null	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/client-summary.dto.ts	ClientSummaryDto	status	string	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/create-client.dto.ts	CreateClientDto	slug	string	NAO	@IsString()
/opt/rh-saas/backend/src/modules/super-admin/dto/create-client.dto.ts	CreateClientDto	tradeName	string	NAO	@IsString()
/opt/rh-saas/backend/src/modules/super-admin/dto/create-client.dto.ts	CreateClientDto	legalName	string	NAO	@IsString()
/opt/rh-saas/backend/src/modules/super-admin/dto/create-client.dto.ts	CreateClientDto	documentNumber	string	NAO	@IsString()
/opt/rh-saas/backend/src/modules/super-admin/dto/create-client.dto.ts	CreateClientDto	planId	string	NAO	@IsUUID()
/opt/rh-saas/backend/src/modules/super-admin/dto/create-plan.dto.ts	CreatePlanDto	code	string	NAO	@IsString()
/opt/rh-saas/backend/src/modules/super-admin/dto/create-plan.dto.ts	CreatePlanDto	name	string	NAO	@IsString()
/opt/rh-saas/backend/src/modules/super-admin/dto/create-plan.dto.ts	CreatePlanDto	description	string	SIM	@IsOptional() @IsString()
/opt/rh-saas/backend/src/modules/super-admin/dto/dashboard.dto.ts	DashboardDto	clients	any	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/dashboard.dto.ts	DashboardDto	plans	any	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/dashboard.dto.ts	DashboardDto	users	any	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/dashboard.dto.ts	DashboardDto	employees	any	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/dashboard.dto.ts	DashboardDto	documents	any	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/dashboard.dto.ts	DashboardDto	modules	any	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/dashboard.dto.ts	DashboardDto	audit	any[]	NAO	
/opt/rh-saas/backend/src/modules/super-admin/dto/update-client-status.dto.ts	UpdateClientStatusDto	status	string	NAO	@IsString()
