file	field	type	decorators
/opt/rh-saas/backend/src/modules/foundation/entities/location-tracking-point.entity.ts	type	'numeric',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/location-tracking-point.entity.ts	type	'numeric',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/location-tracking-point.entity.ts	name	'accuracy_meters',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/location-tracking-point.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/location-tracking-point.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/location-tracking-point.entity.ts	type	'jsonb',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/location-tracking-point.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/location-tracking-point.entity.ts	name	'updated_at',	@UpdateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/mobile-device.entity.ts	name	'mobile_devices',	@Entity({
/opt/rh-saas/backend/src/modules/foundation/entities/mobile-device.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/foundation/entities/mobile-device.entity.ts	name	'client_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/mobile-device.entity.ts	name	'employee_profile_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/mobile-device.entity.ts	employeeProfileId	string	
/opt/rh-saas/backend/src/modules/foundation/entities/mobile-device.entity.ts	name	'device_uid',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/mobile-device.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/mobile-device.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/mobile-device.entity.ts	name	'app_version',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/mobile-device.entity.ts	name	'is_active',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/mobile-device.entity.ts	name	'last_seen_at',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/mobile-device.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/mobile-device.entity.ts	name	'updated_at',	@UpdateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/payslip-foundation.entity.ts	name	'payslips_foundation',	@Entity({
/opt/rh-saas/backend/src/modules/foundation/entities/payslip-foundation.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/foundation/entities/payslip-foundation.entity.ts	name	'client_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/payslip-foundation.entity.ts	name	'employee_profile_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/payslip-foundation.entity.ts	employeeProfileId	string	
/opt/rh-saas/backend/src/modules/foundation/entities/payslip-foundation.entity.ts	name	'reference_month',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/payslip-foundation.entity.ts	name	'reference_year',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/payslip-foundation.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/payslip-foundation.entity.ts	name	'file_path',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/payslip-foundation.entity.ts	name	'hash_sha256',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/payslip-foundation.entity.ts	name	'acknowledged_at',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/payslip-foundation.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/payslip-foundation.entity.ts	name	'updated_at',	@UpdateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	name	'saas_clients',	@Entity({
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	name	'tenant_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	tenantId	string	
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	name	'plan_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	name	'trade_name',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	tradeName	string	
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	name	'legal_name',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	legalName	string	
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	name	'document_number',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	name	'default_locale',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/saas-client.entity.ts	name	'updated_at',	@UpdateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/time-bank-balance-foundation.entity.ts	name	'time_bank_balances_foundation',	@Entity({
/opt/rh-saas/backend/src/modules/foundation/entities/time-bank-balance-foundation.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/foundation/entities/time-bank-balance-foundation.entity.ts	name	'client_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/time-bank-balance-foundation.entity.ts	name	'employee_profile_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/time-bank-balance-foundation.entity.ts	employeeProfileId	string	
/opt/rh-saas/backend/src/modules/foundation/entities/time-bank-balance-foundation.entity.ts	name	'reference_date',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/time-bank-balance-foundation.entity.ts	name	'balance_minutes',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/time-bank-balance-foundation.entity.ts	name	'credit_minutes',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/time-bank-balance-foundation.entity.ts	name	'debit_minutes',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/time-bank-balance-foundation.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/time-bank-balance-foundation.entity.ts	name	'updated_at',	@UpdateDateColumn({
